,address_en,address_fr,lat,lng,name_en,name_fr
0,"Bantrel Tower , 700 6,  Avenue Southwest, 7,  Floor , Calgary, Alberta","Tour Bantrel, 700, 6,  Sud-ouest, 7,  étage, Calgary (Alberta)",51.048058,-114.076624,Calgary Office,Bureau de Calgary
1,"940 Canada Place, 9700 Jasper Avenue, Edmonton, Alberta","940 Canada Place, 9700, avenue Jasper, Edmonton (Alberta)",53.542118,-113.485705,Edmonton Office,Bureau d'Edmonton
2,"471 Queensway Avenue,, 3,  Floor, Suite 313, Kelowna, BC  V1Y 6S5","471, avenue Queensway,, 3,  étage, bureau 313, Kelowna (Colombie-Britannique)  V1Y 6S5",49.887195,-119.494076,Kelowna Office,Bureau de Kelowna
3,"60 Nanaimo Avenue West , Penticton, BC","60, avenue Nanaimo Ouest , Penticton (Colombie-Britannique)",49.498697,-119.593198,Penticton Office,Bureau de Penticton
4,"299 Victoria Street, 4,  Floor, Suite 435, Prince George, B.C., V2L 5B8  ","299, rue Victoria, 4,  étage, bureau 435, Prince George (C.-B.), V2L 5B8",53.918144,-122.749123,Prince George Office,Bureau de Prince George
5,"13479 108th Street, 3rd Floor, Suite 350, Surrey, B.C., V3T 5T4     ","13479, rue 108, 3,  étage, bureau 350, Surrey (C.-B.), V3T 5T4",49.19907,-122.8493,Surrey Office,Bureau de Surrey
6,"605 Robson Street, Suite 900, Vancouver, BC","605, rue Robson, bureau 900, Vancouver (Colombie-Britannique)",49.2810655,-123.1189809,Vancouver Office,Bureau de Vancouver
7,"61 Hyperion Court, Suite 04, Kingston, Ontario  K7K 7K7","61Hyperion Court, bureau 04, Kingston (Ontario)  K7K 7K7",44.25881,-76.510528,Kingston Office,Bureau de Kingston
8,"1161 Crawford Drive, , Suite 300, , Peterborough, Ontario, , K9J 6X6","1161 lecteurs Crawford, bureau 300, , Peterborough, Ontario, , K9J 6X6",44.26845,-78.3435,Peterborough Office,Bureau de Peterborough
9,"55 Town Centre Court, Suite 205 , Scarborough, Ontario","55, court Town Centre, bureau 205 , Scarborough (Ontario)",43.773891,-79.254117,Toronto-Scarborough Office,Bureau de Toronto-Scarborough
10,"2075 Bayview Avenue, K-Wing , Toronto, Ontario","2075, avenue Bayview, K-Wing Toronto (Ontario)",43.723374,-79.374817,Toronto-Sunnybrook Office,Bureau de Toronto-Sunnybrook
11,"17 Front Street, Suite 15, Trenton, Ontario","17, rue Front, bureau 15, Trenton (Ontario)",44.1020859,-77.5757472,Trenton Office,Bureau de Trenton
12,"Complexe Samuel Holland, 830 Ernest-Gagnon Avenue, 3,  Floor, Suite 305, Quebec, Quebec","Complexe Samuel-Holland, 830, avenue Ernest-Gagnon, 3,  étage, bureau 305, Québec (Québec)",46.795551,-71.250559,Quebec Office,Bureau de Québec
13,"15 Wing Moose Jaw, 64 Nato Drive, Suite 113, Moose Jaw, Saskatchewan","15,  Escadre Moose Jaw, 64, promenade Nato, bureau 113, Moose Jaw (Saskatchewan)",50.339324,-105.556659,JPSU Prairie Region Detachment - Satellite Office Moose Jaw,UISP - bureau satellite Moose Jaw
14,"157 Water Street , 5,  Floor, Room 501 , Campbellton, New Brunswick","157, rue Water , 5,  étage, bureau 501 , Campbellton (Nouveau-Brunswick)",48.007528,-66.67622,Campbellton Office,Bureau de Campbellton
15,"Jean Canfield Building, 1,  Floor, 191 Great George Street, Charlottetown, PE, C1A 4L2","Édifice Jean-Canfield, Rez-de-chaussée, 191, rue Great George, , Charlottetown (Île-du-Prince-Édouard) , C1A 4L2",46.23747,-63.12961,Charlottetown Office,Bureau de Charlottetown
16,"Customs Building , 189 Prince William St, 5,  floor , Saint John, New Brunswick","Customs Building , 5,  étage , 189, rue Prince William , Saint John (Nouveau-Brunswick)",45.2697333,-66.0614878,Saint John Office,Bureau de Saint John
17,"Joseph R. Smallwood Building, 1 Regent Square, 4,  Floor, Corner Brook, Newfoundland, A2H 4C8","Édifice Joseph R. Smallwood, 1, carré Regent, 4,  étage, Corner Brook (Terre-Neuve-et-Labrador), A2H 4C8",48.952646,-57.954951,Corner Brook Office,Bureau de Corner Brook
18,"The John Cabot Building , 10 Barter’s Hill, 2nd Floor, St. John’s, Newfoundland","Édifice John Cabot , 10 Barter’s Hill, 2,  étage , St. John’s (Terre-Neuve)",47.559601,-52.714452,St. John's Office,Bureau de St. John's
19,"107 Shirreff Avenue, Room 201 , North Bay, Ontario","107, avenue Shirreff , bureau 201, North Bay (Ontario)",46.331763,-79.464505,North Bay Office,Bureau de North Bay
20,"2323 Riverside Drive , 2,  Floor, Suite 1 , Ottawa, Ontario","2323, rue Riverside , 2,  étage, salle 1 , Ottawa (Ontario)",45.385944,-75.679542,Ottawa Office,Bureau d'Ottawa
21,"1100 Pembroke Street East , Suite 201 , Pembroke, Ontario","1100, rue Pembroke est, bureau 201, Pembroke (Ontario)",45.820726,-77.084427,Pembroke Office,Bureau de Pembroke
22,"130 Syndicate Ave South, 1,  Floor, Thunder Bay, ON","130 avenue Syndicate Sud, Premiere etage, Thunder Bay (Ontario)",48.382595,-89.247571,Thunder Bay Office,Bureau de Thunder Bay
23,"7105 Chebucto Road, Suite 200, Halifax, NS , B3L 4W8","7105, route Chebucto, bureau 200 , Halifax (Nouvelle-Écosse), B3L 4W8",44.645,-63.61998,Halifax Office,Bureau d'Halifax
24,"70 Crescent St., 1,  floor, Sydney, NS, B1S 2Z7","70, rue Crescent, 1,  étage, Sydney (Nouvelle-Écosse), B1S 2Z7",46.13146,-60.19378,Sydney Office,Bureau de Sydney
25,"1039 Princess Avenue, 1,  Floor, Brandon, Manitoba, R7A 4J5","1039, avenue Princess, 1,  étage, Brandon (Manitoba), R7A 4J5",49.84731,-99.95239,Brandon Office,Bureau de Brandon
26,"Alvin Hamilton Building, 1783 Hamilton Street, Suite 108, Regina, Saskatchewan","Édifice Alvin Hamilton, 1783, rue Hamilton, bureau 108 , Regina (Saskatchewan)",50.450644,-104.609418,Regina Office,Bureau de Regina
27,"101-22,  Street East , 5,  Floor, Saskatoon, Saskatchewan, S7K 0E1","101, 22,  Rue Est , 5,  étage, Saskatoon (Saskatchewan), S7K 0E1",52.12865,-106.66516,Saskatoon Office,Bureau de Saskatoon
28,"234 Donald Street, Suite 610, Winnipeg, Manitoba","234, rue Donald, bureau 610 , Winnipeg (Manitoba)",49.891363,-97.142573,Winnipeg Office,Bureau de Winnipeg
29,"55 Bay Street, 9,  Floor , Hamilton, Ontario","55, rue Bay nord, 9,  étage , Hamilton (Ontario)",43.2595618,-79.8736087,Hamilton Office,Bureau de secteur d'Hamilton
30,"417 Exeter Road , London, Ontario","417, route Exeter, London (Ontario)",42.923392,-81.239289,London Office,Bureau de London
31,"5800 Hurontario Street, Mississauga, ON, L5R 4B9","5800, rue Hurontario, Mississauga (Ontario), L5R 4B9",43.621931,-79.674841,Mississauga Office,Bureau de Mississauga
